id,target,feature01,feature02,feature03,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature10.1,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
1,215000,2.0,528.0,0,1080.0,1656,7,1656,6,5,1960,1,,,red,2,good,bad,3,1,5,2010,0,0,1960
2,105000,1.0,730.0,0,882.0,896,5,896,5,6,1961,1,,dog,red,0,,bad,2,1,6,2010,0,0,1961
3,172000,1.0,312.0,0,1329.0,1329,6,1329,6,6,1958,1,,,red,0,,good,3,1,6,2010,1,0,1958
4,244000,2.0,522.0,0,2110.0,2110,8,2110,7,5,1968,2,,,red,2,bad,amazing,3,1,4,2010,1,0,1968
5,189900,2.0,482.0,0,928.0,928,6,1629,5,5,1997,2,,dog,red,1,bad,bad,3,1,3,2010,1,701,1998
6,195500,2.0,470.0,0,926.0,926,7,1604,6,6,1998,2,,,red,1,good,good,3,1,6,2010,1,678,1998
7,213500,2.0,582.0,0,1338.0,1338,6,1338,8,5,2001,2,,,red,0,,good,2,1,4,2010,0,0,2001
8,191500,2.0,506.0,0,1280.0,1280,5,1280,8,5,1992,2,,,red,0,,good,2,1,1,2010,0,0,1992
9,236500,2.0,608.0,0,1595.0,1616,5,1616,8,5,1995,2,,,red,1,bad,good,2,1,3,2010,0,0,1996
10,189000,2.0,442.0,0,994.0,1028,7,1804,7,5,1999,2,,,red,1,bad,good,3,1,6,2010,1,776,1999
11,175900,2.0,440.0,0,763.0,763,7,1655,6,5,1993,2,,,red,1,bad,bad,3,1,4,2010,1,892,1994
12,185000,2.0,420.0,0,1168.0,1187,6,1187,6,7,1992,2,,cat,red,0,,bad,3,1,3,2010,0,0,2007
13,180400,2.0,393.0,0,789.0,789,7,1465,6,5,1998,2,,,red,1,good,bad,3,1,5,2010,1,676,1998
14,171500,2.0,506.0,0,1300.0,1341,5,1341,7,5,1990,1,,,red,1,horrible,good,2,1,2,2010,1,0,1990
15,212000,2.0,528.0,0,1488.0,1502,4,1502,8,5,1985,1,,,red,0,,good,1,1,6,2010,1,0,1985
16,538000,3.0,841.0,0,1650.0,1690,12,3279,8,5,2003,3,,,red,1,good,amazing,4,1,6,2010,1,1589,2003
17,164000,2.0,492.0,0,559.0,1080,8,1752,8,7,1988,2,,,red,0,,bad,4,1,6,2010,0,672,2005
18,394432,3.0,834.0,0,1856.0,1856,8,1856,9,2,2010,1,,,red,1,amazing,amazing,1,1,6,2010,1,0,2010
19,141000,2.0,400.0,0,864.0,864,4,864,4,5,1951,1,,,red,0,,bad,2,1,6,2010,0,0,1951
20,210000,2.0,500.0,0,1542.0,2073,7,2073,6,6,1978,2,,dog,red,2,bad,bad,3,1,2,2010,0,0,1988
21,190000,2.0,546.0,0,1844.0,1844,7,1844,6,6,1977,2,,dog,red,1,bad,bad,3,1,1,2010,0,0,1977
